feature,importance,is_missing_indicator,feature_class
grid_position_norm,0.7545051803157173,False,stable
grid_adjusted,0.7457540827355102,False,stable
qualifying_position,0.6960376617834176,False,stable
constructor_standing_position_prev,0.31837823422848593,False,stable
missingindicator_driver_circuit_avg_finish,0.24634875975200834,True,experimental
driver_podiums_last_5,0.2281319598648505,False,era_sensitive
driver_standing_position_prev,0.215142596292481,False,stable
missingindicator_q2_sec,0.1962938634196058,True,experimental
reached_q2,0.1962938634196058,False,stable
driver_avg_finish_last_5,0.18314017992195927,False,stable
driver_points_last_5,0.17744559859161027,False,era_sensitive
driver_wins_last_3,0.1713774979621798,False,era_sensitive
qualifying_gap_to_pole_pct,0.1556155773652438,False,stable
driver_dnf_rate_last_5,0.1428174277881779,False,stable
driver_standing_wins_prev,0.13806360664181658,False,era_sensitive
constructor_circuit_wins,0.12144859778337157,False,experimental
driver_wins_last_5,0.10561308963442524,False,era_sensitive
constructor_wins_last_3,0.0991300504885676,False,era_sensitive
q1_sec,0.09675382130091523,False,experimental
constructor_podiums_last_5,0.09247819126248089,False,era_sensitive
constructor_standing_points_prev,0.09003718639920046,False,era_sensitive
driver_circuit_wins,0.08757426261674235,False,experimental
driver_circuit_starts,0.08489552442714789,False,experimental
constructor_dnf_rate_last_5,0.05247292070759884,False,era_sensitive
constructor_wins_last_5,0.05184784976173846,False,era_sensitive
driver_standing_points_prev,0.04716724505487294,False,era_sensitive
driver_wins_last_10,0.04622696138438097,False,era_sensitive
missingindicator_constructor_standing_position_prev,0.04563912611590128,True,stable
missingindicator_constructor_standing_points_prev,0.04563912611590122,True,era_sensitive
missingindicator_q3_sec,0.04282248015652112,True,experimental
reached_q3,0.042822480156521105,False,stable
q2_sec,0.03895693968472062,False,experimental
q3_sec,0.031480136663302585,False,experimental
missingindicator_driver_standing_wins_prev,0.02760325023359903,True,era_sensitive
missingindicator_driver_standing_points_prev,0.02760325023359903,True,era_sensitive
missingindicator_driver_standing_position_prev,0.02760325023359903,True,stable
missingindicator_qualifying_gap_to_pole_pct,0.021727096984128565,True,stable
missingindicator_q1_sec,0.021727096984128565,True,experimental
driver_circuit_avg_finish,0.013358824694977948,False,experimental
missingindicator_qualifying_position,0.011908610285726057,True,stable
pit_lane_start,0.010891781334892128,False,stable
missingindicator_constructor_dnf_rate_last_5,0.009180066951103792,True,era_sensitive
missingindicator_constructor_podiums_last_5,0.009180066951103792,True,era_sensitive
missingindicator_constructor_wins_last_3,0.009180066951103792,True,era_sensitive
missingindicator_constructor_wins_last_5,0.009180066951103792,True,era_sensitive
missingindicator_driver_wins_last_10,0.008905400046511283,True,era_sensitive
missingindicator_driver_wins_last_3,0.008905400046511283,True,era_sensitive
missingindicator_driver_dnf_rate_last_5,0.008905400046511283,True,stable
missingindicator_driver_points_last_5,0.008905400046511283,True,era_sensitive
missingindicator_driver_podiums_last_5,0.008905400046511283,True,era_sensitive
missingindicator_driver_wins_last_5,0.008905400046511283,True,era_sensitive
missingindicator_driver_avg_finish_last_5,0.008905400046511283,True,stable
driver_experience_races,0.002350658957508197,False,stable
