feature,top1_drop_mean,top1_drop_std,feature_class
qualifying_position,0.05454545454545447,0.042152811343162296,stable
driver_wins_last_3,0.045454545454545414,0.020327890704543525,era_sensitive
driver_standing_wins_prev,0.045454545454545414,0.03214121732666122,era_sensitive
grid_position_norm,0.03181818181818179,0.018181818181818164,stable
driver_dnf_rate_last_5,0.027272727272727247,0.009090909090909084,stable
grid_adjusted,0.027272727272727226,0.030151134457776372,stable
driver_wins_last_10,0.022727272727272707,0.0,era_sensitive
constructor_circuit_wins,0.022727272727272707,0.020327890704543525,experimental
q2_sec,0.018181818181818167,0.009090909090909084,experimental
driver_wins_last_5,0.013636363636363624,0.018181818181818164,era_sensitive
q1_sec,0.013636363636363624,0.018181818181818164,experimental
constructor_podiums_last_5,0.013636363636363624,0.011134044285378073,era_sensitive
reached_q2,0.013636363636363624,0.018181818181818164,stable
driver_circuit_starts,0.009090909090909084,0.011134044285378071,experimental
constructor_wins_last_5,0.009090909090909084,0.011134044285378071,era_sensitive
driver_podiums_last_5,0.009090909090909061,0.02317736142542176,era_sensitive
driver_circuit_avg_finish,0.004545454545454542,0.009090909090909084,experimental
driver_standing_points_prev,0.004545454545454542,0.009090909090909084,era_sensitive
qualifying_gap_to_pole_pct,0.004545454545454519,0.01700753357624521,stable
driver_standing_position_prev,0.0,0.0,stable
pit_lane_start,0.0,0.0,stable
q3_sec,0.0,0.0,experimental
reached_q3,0.0,0.0,stable
driver_circuit_wins,0.0,0.0,experimental
constructor_dnf_rate_last_5,0.0,0.0,era_sensitive
constructor_wins_last_3,0.0,0.0,era_sensitive
driver_experience_races,0.0,0.0,stable
constructor_standing_position_prev,-2.2204460492503132e-17,0.014373989364401745,stable
driver_points_last_5,-2.2204460492503132e-17,0.014373989364401745,era_sensitive
constructor_standing_points_prev,-2.2204460492503132e-17,0.014373989364401745,era_sensitive
driver_avg_finish_last_5,-0.004545454545454586,0.01700753357624522,stable
