feature,mean_abs_shap,feature_class
grid_position_norm,0.6597141949121705,stable
grid_adjusted,0.6068670904977193,stable
qualifying_position,0.5649199035515833,stable
constructor_standing_position_prev,0.25675346310841646,stable
missingindicator_driver_circuit_avg_finish,0.18493450769397526,experimental
reached_q2,0.18317628106589656,stable
missingindicator_q2_sec,0.18317628106589656,experimental
driver_podiums_last_5,0.17345262716039708,era_sensitive
driver_standing_position_prev,0.17008932617062084,stable
driver_points_last_5,0.14536369497993962,era_sensitive
driver_avg_finish_last_5,0.13658117160793076,stable
driver_dnf_rate_last_5,0.10228352597789232,stable
driver_wins_last_3,0.0960848360096309,era_sensitive
qualifying_gap_to_pole_pct,0.09452404631460416,stable
constructor_circuit_wins,0.09343959338346802,experimental
driver_standing_wins_prev,0.08558805806760106,era_sensitive
constructor_standing_points_prev,0.07709789344713122,era_sensitive
driver_circuit_starts,0.07219082882146063,experimental
constructor_wins_last_3,0.07181736345671197,era_sensitive
q1_sec,0.07154286198485008,experimental
constructor_podiums_last_5,0.07033059089007161,era_sensitive
driver_wins_last_5,0.06371489331647934,era_sensitive
driver_circuit_wins,0.05534986512419474,experimental
missingindicator_q3_sec,0.04283085171808768,experimental
reached_q3,0.04283085171808765,stable
driver_standing_points_prev,0.03975274014022251,era_sensitive
constructor_wins_last_5,0.03867708339087238,era_sensitive
constructor_dnf_rate_last_5,0.0367864315797256,era_sensitive
driver_wins_last_10,0.029134519086069635,era_sensitive
q2_sec,0.025917251117526123,experimental
q3_sec,0.016324445100665823,experimental
driver_circuit_avg_finish,0.009503610232994035,experimental
missingindicator_driver_standing_wins_prev,0.008150674662756888,era_sensitive
missingindicator_driver_standing_points_prev,0.008150674662756888,era_sensitive
missingindicator_driver_standing_position_prev,0.008150674662756888,stable
missingindicator_q1_sec,0.0054421429377824035,experimental
missingindicator_qualifying_gap_to_pole_pct,0.0054421429377824035,stable
pit_lane_start,0.005349185186533377,stable
missingindicator_constructor_standing_position_prev,0.0021180709185708683,stable
missingindicator_constructor_standing_points_prev,0.002118070918570866,era_sensitive
driver_experience_races,0.0020882081416219987,stable
missingindicator_driver_avg_finish_last_5,0.001815382575982683,stable
missingindicator_driver_wins_last_3,0.001815382575982683,era_sensitive
missingindicator_driver_wins_last_5,0.001815382575982683,era_sensitive
missingindicator_driver_wins_last_10,0.001815382575982683,era_sensitive
missingindicator_driver_points_last_5,0.001815382575982683,era_sensitive
missingindicator_driver_podiums_last_5,0.001815382575982683,era_sensitive
missingindicator_driver_dnf_rate_last_5,0.001815382575982683,stable
missingindicator_qualifying_position,0.0006944611701697435,stable
missingindicator_constructor_wins_last_5,6.369951060447431e-19,era_sensitive
missingindicator_constructor_wins_last_3,6.369951060447431e-19,era_sensitive
missingindicator_constructor_podiums_last_5,6.369951060447431e-19,era_sensitive
missingindicator_constructor_dnf_rate_last_5,6.369951060447431e-19,era_sensitive
